zipcode	population	housing_violations	restaurant_violations	restaurant_calls	housing_calls	restaurant_critical_violations
10001	21102	700	2142	269	1590	1234
10002	81410	3097	2431	624	4370	1386
10003	56024	2299	3502	690	3397	1919
10004	3089	11	610	45	59	333
10005	7135	15	246	27	94	139
10006	3011	56	181	26	100	113
10007	6988	62	605	42	164	323
10009	61347	2723	1401	789	4671	758
10010	31834	524	1109	199	1231	625
10011	50984	2061	2232	368	2628	1266
10012	24090	1543	1952	318	1686	1119
10013	27700	1160	2907	307	1076	1675
10014	31959	1668	1894	349	2054	1053
10016	54183	1491	2304	353	2519	1310
10017	16575	280	1640	195	459	925
10018	5229	381	1642	134	473	943
10019	42870	2259	2760	496	3179	1529
10021	43631	904	748	151	1200	428
10022	31924	987	2110	199	1197	1175
10023	60998	1068	801	143	1700	440
10024	59283	2193	918	151	2804	531
10025	94600	4189	1337	236	6766	733
10026	34003	3333	485	113	3713	267
10027	59707	6143	837	251	6773	472
10028	45141	1259	1030	270	1849	571
10029	76003	5571	1182	349	6218	687
10030	26999	3943	216	190	4975	122
10031	56438	12272	618	299	13421	371
10032	57331	10282	679	176	9433	404
10033	53926	7006	571	205	7803	300
10034	38908	7368	589	442	8159	326
10035	33969	4023	419	54	4269	226
10036	24711	1767	2549	415	2527	1450
10037	17416	1632	161	17	2208	96
10038	20300	214	841	133	933	471
10039	24527	2154	191	31	3824	96
10040	41905	5123	443	268	8680	257
10044	11661	92	22	1	108	9
10065	32270	915	844	118	932	458
10069	5199	5	8	3	13	4
10075	26121	466	426	167	620	230
10128	60453	1510	800	101	2239	468
10280	7853	39	29	7	64	15
10282	4783	33	54	8	52	28
10301	39706	2091	508	51	2909	274
10302	19088	571	325	47	1027	193
10303	26337	997	134	14	1290	86
10304	42193	1902	196	143	2635	115
10305	41749	325	485	33	991	261
10306	55909	253	460	134	1362	260
10307	14096	30	90	85	182	46
10308	27357	87	229	56	590	117
10309	32519	50	292	31	424	177
10310	24962	593	295	84	1159	174
10312	59304	68	349	43	855	217
10314	85510	300	797	57	1721	442
10451	45713	5683	668	70	6272	360
10452	75371	13730	603	63	12350	345
10453	78309	16886	525	172	15970	292
10454	37337	3947	434	51	3600	244
10455	39665	4745	450	58	4328	243
10456	86547	13343	452	90	12980	241
10457	70496	15060	447	66	12120	229
10458	79492	15660	943	188	15359	540
10459	47308	7521	360	39	6869	193
10460	57311	9478	264	43	8440	152
10461	50502	2763	688	317	3779	394
10462	75784	4517	698	80	8477	409
10463	67970	5124	601	107	7516	343
10464	4534	114	181	77	164	100
10465	42230	626	340	59	1635	190
10466	67813	6467	413	69	7097	220
10467	97060	14192	733	80	15818	383
10468	76103	12134	564	59	13542	306
10469	66631	2452	418	57	3809	241
10470	15293	2295	179	23	2172	104
10471	22922	341	286	59	938	165
10472	66358	10538	504	76	10233	294
10473	58519	1398	174	37	2944	94
10474	12281	2288	152	10	2241	86
10475	40931	262	218	26	479	132
11004	14016	39	137	20	262	73
11005	1806	3	21	24	5	10
11101	25484	992	1342	368	1631	768
11102	34133	1123	418	141	1972	203
11103	38780	1643	1106	340	1972	573
11104	27232	1159	554	118	1668	310
11105	36688	1343	602	159	1641	342
11106	38875	1189	703	296	2103	380
11201	51128	1037	1730	229	1649	907
11203	76174	6541	730	97	6963	381
11204	78134	2540	623	54	2907	355
11205	40366	1703	743	174	6224	421
11206	81677	4537	821	652	5848	458
11207	93386	10573	709	211	9586	389
11208	94469	7896	608	112	8286	355
11209	68853	2148	1351	321	3429	707
11210	62008	3982	417	49	5441	219
11211	90117	4415	1688	499	4305	951
11212	84500	9734	627	59	9702	338
11213	63767	9494	572	132	9692	333
11214	88630	3404	1166	114	4042	634
11215	63488	2766	1545	268	2448	872
11216	54316	7017	817	450	8133	438
11217	35881	1398	1102	415	1788	577
11218	75220	4545	825	101	4188	438
11219	92221	3468	540	46	2508	296
11220	99598	6343	1875	148	5407	1056
11221	78895	9176	550	295	9571	310
11222	36934	2244	959	282	2097	540
11223	78731	2495	846	152	3758	442
11224	47621	2078	260	52	2483	135
11225	56829	8765	684	118	10270	380
11226	101572	16322	1052	173	17243	556
11228	41788	652	214	35	750	112
11229	80018	2622	670	59	3554	375
11230	86408	4628	617	72	5192	321
11231	33336	1587	689	96	1309	380
11232	28265	1942	563	58	1674	325
11233	67053	9494	413	62	8824	229
11234	87757	1099	677	198	2832	375
11235	79132	3514	867	198	4499	456
11236	93877	2773	643	105	4355	341
11237	49896	7014	1100	522	5998	617
11238	49262	4632	1160	579	5508	626
11239	13393	174	63	15	289	39
11354	54878	1417	2148	123	1764	1242
11355	85871	1759	1112	102	2922	669
11356	23438	318	240	27	686	132
11357	39150	148	266	26	563	143
11358	37546	593	711	35	842	387
11360	18884	116	102	4	287	45
11361	28606	245	561	43	578	298
11362	17823	120	275	29	140	159
11363	6988	36	38	13	135	19
11364	34555	118	240	13	483	138
11365	42252	502	189	24	843	105
11366	13532	114	285	15	416	163
11367	41047	553	249	53	1226	140
11368	109931	3635	1387	124	4693	742
11369	38615	896	226	28	1651	123
11370	39688	602	67	12	628	34
11372	66636	1810	1924	225	3022	1079
11373	100820	2819	1161	91	4868	624
11374	43600	777	453	53	2003	244
11375	68733	1062	883	130	2235	474
11377	89830	2293	953	206	3453	522
11378	34981	565	366	49	826	204
11379	34821	511	208	15	750	110
11385	98592	5551	1317	323	4860	697
11411	18556	155	142	15	528	75
11412	34882	1111	192	21	1488	104
11413	38912	530	215	15	1218	118
11414	26148	260	227	176	912	124
11415	19341	489	259	107	1587	139
11416	24861	542	185	41	1357	94
11417	28967	539	359	79	1187	206
11418	36256	1173	453	151	1952	237
11419	47211	877	519	99	2657	295
11420	44354	750	376	66	2646	208
11421	39127	693	450	58	1818	248
11422	30425	359	157	18	966	80
11423	29987	633	100	15	1587	50
11426	17590	56	196	10	265	91
11427	23593	108	122	9	700	71
11428	19168	199	222	26	713	120
11429	25105	219	106	5	743	59
11432	60809	2105	861	87	2618	491
11433	32687	1199	192	84	2078	98
11434	59129	1051	370	75	2336	197
11435	53687	1474	502	48	2589	283
11436	17949	351	80	6	921	45
11691	60035	3050	245	35	4501	132
11692	18540	791	60	4	1306	32
11693	11916	373	142	104	687	68
11694	20408	575	187	136	1322	104
