zipcode	population	month	housing_violations	restaurant_violations	restaurant_calls	housing_calls
10001	21102	05	1	190	34	157
10001	21102	07	10	145	31	161
10001	21102	08	28	183	17	132
10002	81410	01	37	195	55	696
10002	81410	02	6	126	70	638
10002	81410	03	7	204	81	501
10002	81410	04	4	174	79	392
10002	81410	05	14	348	96	450
10002	81410	09	4	258	63	385
10002	81410	10	1	213	19	71
10003	56024	01	26	272	74	495
10003	56024	04	6	466	87	338
10003	56024	05	2	436	95	442
10003	56024	06	4	204	83	320
10003	56024	08	1	254	44	289
10003	56024	09	4	305	60	306
10003	56024	10	2	282	20	62
10007	6988	01	2	34	7	17
10009	61347	01	30	68	79	746
10009	61347	02	6	76	102	673
10009	61347	03	4	123	113	508
10009	61347	04	2	120	126	542
10009	61347	05	9	190	94	527
10009	61347	06	8	137	68	441
10009	61347	07	10	86	56	385
10009	61347	08	26	136	45	394
10009	61347	09	4	116	88	353
10009	61347	10	2	127	18	101
10010	31834	01	2	90	15	194
10010	31834	08	4	123	15	116
10011	50984	01	4	131	23	339
10011	50984	03	2	214	47	331
10011	50984	04	7	190	57	289
10011	50984	06	3	184	51	244
10011	50984	07	2	123	32	318
10011	50984	08	5	165	18	306
10011	50984	09	4	218	29	204
10011	50984	10	3	181	5	68
10012	24090	01	27	116	30	308
10012	24090	04	1	141	53	197
10012	24090	06	1	159	55	196
10013	27700	01	5	271	28	138
10013	27700	06	1	228	41	131
10013	27700	08	5	341	18	123
10013	27700	10	1	207	5	32
10014	31959	01	10	124	24	334
10014	31959	02	5	169	32	253
10014	31959	04	26	131	47	224
10014	31959	06	8	163	52	185
10014	31959	07	1	123	36	195
10014	31959	10	10	171	7	41
10016	54183	01	8	194	36	384
10016	54183	04	2	207	48	327
10016	54183	06	1	181	71	219
10016	54183	07	2	190	32	165
10016	54183	08	3	258	24	247
10017	16575	08	1	229	19	30
10018	5229	08	6	170	9	38
10019	42870	01	33	206	83	533
10019	42870	02	3	178	44	420
10019	42870	08	1	262	29	389
10021	43631	01	45	90	23	231
10021	43631	05	1	61	18	164
10021	43631	06	1	32	16	112
10021	43631	07	1	80	17	102
10022	31924	01	10	142	22	166
10022	31924	06	5	138	20	207
10022	31924	07	2	164	17	98
10022	31924	08	8	214	14	93
10023	60998	01	1	39	19	294
10023	60998	05	1	109	13	194
10023	60998	06	11	78	17	134
10023	60998	07	2	73	25	142
10023	60998	08	3	85	6	130
10023	60998	09	3	44	10	99
10024	59283	01	16	58	23	407
10024	59283	07	1	43	11	311
10024	59283	08	15	98	8	220
10024	59283	09	1	56	13	159
10025	94600	01	43	107	16	1000
10025	94600	04	2	116	38	931
10025	94600	05	1	159	37	805
10025	94600	06	15	122	15	621
10025	94600	09	1	91	16	296
10025	94600	10	3	126	3	98
10026	34003	01	28	21	15	636
10026	34003	03	1	44	14	407
10026	34003	06	9	40	17	296
10026	34003	09	2	42	17	238
10027	59707	01	61	31	40	1293
10027	59707	02	5	84	37	921
10027	59707	03	1	72	39	706
10027	59707	04	1	79	26	780
10027	59707	05	4	100	33	632
10027	59707	06	14	63	28	595
10027	59707	07	22	73	15	532
10027	59707	08	6	97	10	731
10027	59707	09	7	77	22	469
10027	59707	10	11	61	1	121
10028	45141	01	27	54	31	310
10028	45141	04	3	125	36	222
10028	45141	05	1	133	40	197
10028	45141	06	3	82	42	165
10028	45141	07	7	60	29	121
10028	45141	08	10	62	15	149
10028	45141	09	6	32	30	115
10028	45141	10	5	133	4	30
10029	76003	01	136	113	31	1134
10029	76003	02	2	89	32	866
10029	76003	03	3	89	69	819
10029	76003	04	18	89	46	716
10029	76003	05	10	102	65	561
10029	76003	06	2	104	23	522
10029	76003	07	15	149	37	555
10029	76003	08	7	135	8	575
10029	76003	09	8	108	25	341
10029	76003	10	8	101	13	129
10030	26999	01	30	16	61	919
10030	26999	02	1	24	19	626
10030	26999	03	1	20	11	558
10030	26999	04	4	14	5	549
10030	26999	06	1	7	12	450
10030	26999	07	1	15	8	474
10030	26999	08	2	9	26	514
10030	26999	09	1	36	23	299
10030	26999	10	2	20	1	123
10031	56438	01	79	38	45	2313
10031	56438	02	21	57	29	1962
10031	56438	03	8	56	39	2044
10031	56438	04	16	31	39	1306
10031	56438	05	14	71	42	1287
10031	56438	06	22	76	22	1453
10031	56438	07	19	85	44	946
10031	56438	08	39	39	21	1111
10031	56438	09	53	65	14	749
10031	56438	10	69	20	4	247
10032	57331	01	184	51	26	1594
10032	57331	02	63	44	9	1495
10032	57331	03	7	46	16	994
10032	57331	04	5	49	17	1068
10032	57331	05	27	85	24	1013
10032	57331	06	13	82	18	771
10032	57331	07	8	54	18	913
10032	57331	08	21	57	13	849
10032	57331	09	11	82	27	544
10032	57331	10	7	48	8	186
10033	53926	01	88	39	19	1700
10033	53926	02	18	50	25	1249
10033	53926	03	1	46	31	928
10033	53926	04	4	33	39	695
10033	53926	05	10	62	12	675
10033	53926	06	5	39	14	545
10033	53926	07	4	59	34	664
10033	53926	08	38	51	8	676
10033	53926	09	12	76	11	501
10033	53926	10	5	48	12	141
10034	38908	01	32	65	58	1518
10034	38908	02	3	41	43	1134
10034	38908	03	5	89	67	1003
10034	38908	04	13	45	41	1083
10034	38908	05	5	17	38	876
10034	38908	06	6	50	45	684
10034	38908	08	20	32	45	684
